Name,FileName,BitDepth,Format,FrameRate,0,width,height,Frames,Level
BuildingHall2,BuildingHall2_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,500,5.1
FlyingBirds2,FlyingBirds2_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,300,5.1
RollerCoaster2,RollerCoaster2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
SunsetBeach,SunsetBeach_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,600,5.1
Timelapse,Timelapse_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
ToddlerFountain2,ToddlerFountain2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
Netflix_Aerial,Netflix_Aerial_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_RollerCoaster,Netflix_RollerCoaster_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_WindAndNature,Netflix_WindAndNature_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_SquareAndTimelapse,Netflix_SquareAndTimelapse_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_TunnelFlag,Netflix_TunnelFlag_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
ducks,ducks_take_off_1080p50.yuv,8,420,50,0,1920,1080,300,4.1
park,park_joy_1080p50.yuv,8,420,50,0,1920,1080,300,4.1
BundNightscape,BundNightscape_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
ConstructionField,ConstructionField_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Fountains,Fountains_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Library,Library_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Marathon,Marathon_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
ResidentialBuilding,ResidentialBuilding_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Runners,Runners_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
RushHour,RushHour_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Scarf,Scarf_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
TallBuildings,TallBuildings_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
TrafficAndBuilding,TrafficAndBuilding_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
TrafficFlow,TrafficFlow_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
RTreeShade,RTreeShade_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Wood,Wood_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Tango2,Tango2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,294,5.1
FoodMarket4,FoodMarket4_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
Campfire,Campfire_3840x2160_30fps_10bit_420_bt709_videoRange.yuv,10,420,30,0,3840,2160,300,5.1
CatRobot1,CatRobot1_3840x2160p_60_10_709_420.yuv,10,420,60,0,3840,2160,300,5.1
DaylightRoad2,DaylightRoad2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
ParkRunning3,ParkRunning3_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,300,5.1
MarketPlace,MarketPlace_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
RitualDance,RitualDance_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
Cactus,Cactus_1920x1080_50.yuv,8,420,50,0,1920,1080,500,4.1
BasketballDrive,BasketballDrive_1920x1080_50.yuv,8,420,50,0,1920,1080,500,4.1
BQTerrace,BQTerrace_1920x1080_60.yuv,8,420,60,0,1920,1080,600,4.1
BasketballDrill,BasketballDrill_832x480_50.yuv,8,420,50,0,832,480,500,3.1
BQMall,BQMall_832x480_60.yuv,8,420,60,0,832,480,600,3.1
PartyScene,PartyScene_832x480_50.yuv,8,420,50,0,832,480,500,3.1
RaceHorses,RaceHorses_832x480_30.yuv,8,420,30,0,832,480,300,3
BasketballPass,BasketballPass_416x240_50.yuv,8,420,50,0,416,240,500,2.1
BQSquare,BQSquare_416x240_60.yuv,8,420,60,0,416,240,600,2.1
BlowingBubbles,BlowingBubbles_416x240_50.yuv,8,420,50,0,416,240,500,2.1
RaceHorses,RaceHorses_416x240_30.yuv,8,420,30,0,416,240,300,2
FourPeople,FourPeople_1280x720_60.yuv,8,420,60,0,1280,720,600,4
Johnny,Johnny_1280x720_60.yuv,8,420,60,0,1280,720,600,4
KristenAndSara,KristenAndSara_1280x720_60.yuv,8,420,60,0,1280,720,600,4
BasketballDrillText,BasketballDrillText_832x480_50.yuv,8,420,50,0,832,480,500,3.1
ChinaSpeed,ChinaSpeed_1024x768_30.yuv,8,420,30,0,1024,768,500,3.1
SlideEditing,SlideEditing_1280x720_30.yuv,8,420,30,0,1280,720,300,3.1
SlideShow,SlideShow_1280x720_20.yuv,8,420,20,0,1280,720,500,3.1
Traffic,Traffic_2560x1600_30_crop.yuv,8,420,30,0,2560,1600,150,5
PeopleOnStreet,PeopleOnStreet_2560x1600_30_crop.yuv,8,420,30,0,2560,1600,150,5
NebutaFestival,NebutaFestival_2560x1600_60_10bit_crop.yuv,10,420,60,0,2560,1600,300,5
SteamLocomotiveTrain,SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,420,60,0,2560,1600,300,5
Kimono1,Kimono1_1920x1080_24.yuv,8,420,24,0,1920,1080,240,4
ParkScene,ParkScene_1920x1080_24.yuv,8,420,24,0,1920,1080,240,4
ArenaOfValor,ArenaOfValor_1920x1080_60_8bit_420.yuv,8,420,60,0,1920,1080,600,4.1
BeachMountain,BeachMountain_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
DayStreet,DayStreet_3840x2160_60p_10bit_420_hlg.yuv,10,420,60,0,3840,2160,600,5.1
DroneTakeOff,DroneTakeOff_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
FlyingBirds2,FlyingBirds2_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,601,5.1
FlyingBirds,FlyingBirds_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,301,5.1
MountainBay,MountainBay_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
PeopleInShoppingCenter,PeopleInShoppingCenter_3840x2160_60p_10bit_420_hlg.yuv,10,420,60,0,3840,2160,600,5.1
SunsetBeach,SunsetBeach_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,601,5.1
BuildingHall1,BuildingHall1_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,500,5.1
uildingHall1,uildingHall1_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,500,5.1
Cosmos1,Cosmos1_1920x856_BT2100_PQ_24fps_420.yuv,10,420,24,0,1920,856,240,4.1
Crosswalk1,Crosswalk1_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,470,5.1
Hurdles,Hurdles_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv,10,420,50,0,1920,1080,500,4.1
Market3,Market3_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv,10,420,50,0,1920,1080,400,4.1
ShowGirl2TeaserClip4000,ShowGirl2TeaserClip4000_1920x1080p_24_12_P3_ct2020_rev1.yuv,10,420,24,0,1920,1080,339,4.1
Starting,Starting_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv,10,420,50,0,1920,1080,500,4.1
BeachMountain2,BeachMountain2_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
BuildingHall,BuildingHall_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
CrossRoad1,CrossRoad1_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
CrossRoad2,CrossRoad2_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
CrossRoad3,CrossRoad3_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
DinningHall2,DinningHall2_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
Fountains,Fountains_1920x1080_30fps_10bit_420.yuv,10,420,30,0,1920,1080,300,4.1
FreeSardines1,FreeSardines1_1920x1080_120fps_10bit_420.yuv,10,420,100,0,1920,1080,600,4.1
Metro,Metro_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
MountainBay2,MountainBay2_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
Netflix_Aerial,Netflix_Aerial_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,1199,4.1
Netflix_BarScene,Netflix_BarScene_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,1199,4.1
Netflix_Crosswalk,Netflix_Crosswalk_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,300,4.1
Netflix_DrivingPOV,Netflix_DrivingPOV_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,1199,4.1
Netflix_FoodMarket2,Netflix_FoodMarket2_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
Netflix_FoodMarket,Netflix_FoodMarket_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,300,4.1
Netflix_PierSeaside,Netflix_PierSeaside_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,1199,4.1
Netflix_RitualDance,Netflix_RitualDance_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
Netflix_SquareAndTimelapse,Netflix_SquareAndTimelapse_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
Netflix_WindAndNature,Netflix_WindAndNature_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,1199,4.1
ParkLake,ParkLake_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
ParkRunning1,ParkRunning1_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
ResidentialGate1,ResidentialGate1_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,1000,5.1
Rowing2,Rowing2_1920x1080_120fps_10bit_420.yuv,10,420,100,0,1920,1080,600,4.1
Runners,Runners_1920x1080_30fps_10bit_420.yuv,10,420,30,0,1920,1080,300,4.1
RushHour,RushHour_1920x1080_30fps_10bit_420.yuv,10,420,30,0,1920,1080,300,4.1
SakuraGate,SakuraGate_1920x1080_60_8bit.yuv,8,420,60,0,1920,1080,300,4.1
IceAerial,IceAerial_1920x1080_30fps_420_10bit.yuv,10,420,30,0,1920,1080,300,4.1
IceRiver,IceRiver_1920x1080_30fps_420_10bit.yuv,10,420,30,0,1920,1080,300,4.1
IceRock,IceRock_1920x1080_30fps_420_10bit.yuv,10,420,30,0,1920,1080,300,4.1
IceRock2,IceRock2_1920x1080_30fps_420_10bit.yuv,10,420,30,0,1920,1080,300,4.1
Netflix_Aerial,Netflix_Aerial_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_BarScene,Netflix_BarScene_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_Dancers,Netflix_Dancers_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_DinnerScene,Netflix_DinnerScene_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_DrivingPOV,Netflix_DrivingPOV_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_PierSeaside,Netflix_PierSeaside_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_RollerCoaster,Netflix_RollerCoaster_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_ToddlerFountain,Netflix_ToddlerFountain_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_WindAndNature,Netflix_WindAndNature_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,1199,5.1
Netflix_Boat,Netflix_Boat_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_BoxingPractice,Netflix_BoxingPractice_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,254,5.1
Netflix_Crosswalk,Netflix_Crosswalk_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_FoodMarket2,Netflix_FoodMarket2_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_FoodMarket,Netflix_FoodMarket_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,600,5.1
Netflix_Narrator,Netflix_Narrator_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Netflix_SquareAndTimelapse,Netflix_SquareAndTimelapse_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,600,5.1
Netflix_Timelapse,Netflix_Timelapse_long_1920x1080_60fps_10bit_420_CfE.yuv,10,420,60,0,1920,1080,600,4.1
Netflix_TimeLapse,Netflix_TimeLapse_long_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,600,5.1
Netflix_TunnelFlag,Netflix_TunnelFlag_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,600,5.1
AerialCrowd,AerialCrowd_3840x2160_30_10b_709_420.yuv,10,420,60,0,4096,2160,600,5.1
BridgeViewTraffic,BridgeViewTraffic_3840x2160_60_10b_709_420.yuv,10,420,60,0,4096,2160,600,5.1
TreeShade,TreeShade_3840x2160_30fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Square,Square_3840x2160_60_10b_709_420.yuv,10,420,60,0,4096,2160,300,5.1
NightRoad,NightRoad_3840x2160_60_10b_709_420.yuv,10,420,60,0,4096,2160,600,5.1